,x,y
0,693645.919594833,1200242.761501573
1,693645.919594833,1200242.761501573
2,693645.919594833,1200242.761501573
3,693645.919594833,1200242.761501573
4,693645.919594833,1200242.761501573
5,693645.919594833,1200242.761501573
6,693645.919594833,1200242.761501573
7,693645.919594833,1200242.761501573
8,693645.919594833,1200242.761501573
9,693645.919594833,1200242.761501573
10,693645.919594833,1200242.761501573
11,693645.919594833,1200242.761501573
12,693645.919594833,1200242.761501573
13,693645.919594833,1200242.761501573
14,693645.919594833,1200242.761501573
15,693645.919594833,1200242.761501573
16,693645.919594833,1200242.761501573
17,693645.919594833,1200242.761501573
18,693645.919594833,1200242.761501573
19,693645.919594833,1200242.761501573
20,693645.919594833,1200242.761501573
21,693645.919594833,1200242.761501573
22,693645.919594833,1200242.761501573
23,693645.919594833,1200242.761501573
24,693645.919594833,1200242.761501573
25,693645.814887142,1200242.5465048451
26,693645.814887142,1200242.5464371855
27,693645.814887142,1200242.546368222
28,693645.814887142,1200242.5462990564
29,693645.814887142,1200242.5462318282
30,693645.814887142,1200242.5461627645
31,693645.6022249998,1200242.1098336698
32,693645.6022249965,1200242.1096205025
33,693645.6022249934,1200242.1094104315
34,693645.6022249898,1200242.10917452
35,693645.6022249867,1200242.1089639263
36,693645.6022249835,1200242.1087532758
37,693645.386839604,1200241.5590875095
38,693645.3868395808,1200241.558704079
39,693645.3868395562,1200241.5582964923
40,693645.3868395312,1200241.5578852221
41,693645.3868395083,1200241.5575052896
42,693645.3868394849,1200241.5571184333
43,693645.386839462,1200241.556738738
44,693645.0666620499,1200240.7897905943
45,693645.0666619359,1200240.789169501
46,693645.0666618234,1200240.7885563727
47,693645.066661695,1200240.787856454
48,693645.0666615799,1200240.787228673
49,693645.066661462,1200240.7865856343
50,693645.066661347,1200240.7859593825
51,693644.6385273746,1200239.7987126026
52,693644.6385269443,1200239.7977722324
53,693644.6385265148,1200239.7968332819
54,693644.6385260698,1200239.795860791
55,693644.6385256309,1200239.7949015847
56,693644.6385251919,1200239.7939422007
57,693644.1017132292,1200238.6929694188
58,693644.1017119711,1200238.6916616396
59,693644.1017106137,1200238.69025059
60,693644.1017093541,1200238.6889412524
61,693644.1017080835,1200238.6876205557
62,693644.1017068368,1200238.6863245857
63,693643.5634015366,1200237.2620691652
64,693643.5633985943,1200237.2603120287
65,693643.563395577,1200237.2585101218
66,693643.5633926031,1200237.256734033
67,693643.5633896138,1200237.2549488212
68,693643.5633866224,1200237.2531623393
69,693643.5633836859,1200237.2514086359
70,693643.129126682,1200236.1432098055
71,693643.129120655,1200236.1407366768
72,693643.1291154736,1200236.13861052
73,693643.1291104022,1200236.136529478
74,693643.1291053698,1200236.1344644718
75,693643.1291001979,1200236.1323422112
76,693642.909365823,1200235.1425681834
77,693642.9093588213,1200235.1401461242
78,693642.9093517156,1200235.1376880521
79,693642.909344781,1200235.1352891813
80,693642.9093377428,1200235.1328544917
81,693642.9093307211,1200235.130425502
82,693642.909323509,1200235.12793064
83,693642.9069201831,1200234.3610941016
84,693642.9069118978,1200234.3582284423
85,693642.9069041495,1200234.3555484891
86,693642.9068965175,1200234.3529087831
87,693642.9068889586,1200234.350294365
88,693642.9068812892,1200234.3476416944
89,693642.9112135922,1200233.58656707
90,693642.9112049441,1200233.5835573825
91,693642.91119649,1200233.5806151822
92,693642.9111881885,1200233.577726069
93,693642.9111796444,1200233.5747525769
94,693642.9111712928,1200233.5718460274
95,693643.0229202105,1200232.598423106
96,693643.0229109142,1200232.5947689011
97,693643.0229026886,1200232.5915356046
98,693643.0228943909,1200232.5882739322
99,693643.0228857417,1200232.5848740782
100,693643.0228775999,1200232.5816737148
101,693643.0228695,1200232.578489775
102,693643.3504937234,1200231.49757277
103,693643.3504883907,1200231.4939812662
104,693643.3504831628,1200231.490460432
105,693643.3504778426,1200231.4868773932
106,693643.3504725301,1200231.4832994905
107,693643.3504672972,1200231.4797752323
108,693643.6853860297,1200230.2862655597
109,693643.6853849083,1200230.282293543
110,693643.6853838048,1200230.2783844755
111,693643.6853827066,1200230.274493935
112,693643.6853815739,1200230.2704816014
113,693643.6853804719,1200230.2665779025
114,693644.0192569029,1200229.2857869056
115,693644.0192622145,1200229.2807670278
116,693644.0192667611,1200229.2764702216
117,693644.0192714116,1200229.2720752696
118,693644.0192758484,1200229.2678821818
119,693644.0192803782,1200229.2636011837
120,693644.0192850083,1200229.2592254514
121,693644.3537207051,1200228.184508023
122,693644.3537320213,1200228.1799020495
123,693644.3537435846,1200228.1751954553
